% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 5 2026, 11:39
% Dimension:          1
% Nodes:              2251
% Expressions:        4
% Description:        Line graph
% R                       Height                   Height                   Height                   Height
0.006999999999999983      3.335891546827035E-10    3.3953149351579175E-10   2.1902479159389628E-10   8.030595139309387E-11
0.007033333333333316      3.3153763020731505E-10   3.3825548010023837E-10   2.187585200228693E-10    8.028714097748595E-11
0.007066666666666649      3.2950798523513927E-10   3.369814537260417E-10    2.1849144746404812E-10   8.026824694332377E-11
0.007099999999999982      3.2750021253168823E-10   3.3570941111208377E-10   2.1822357377483831E-10   8.024926928894634E-11
0.007133333333333315      3.2551454970878863E-10   3.3443949058032225E-10   2.1795489532003426E-10   8.023020759522805E-11
0.0071666666666666485     3.235499777243886E-10    3.3317171527572074E-10   2.1768543265891274E-10   8.021106251537543E-11
0.007199999999999982      3.2160649003624955E-10   3.319060819244957E-10    2.1741518564703964E-10   8.019183404770322E-11
0.007233333333333315      3.196842856257013E-10    3.306427290251066E-10    2.171441509583292E-10    8.017252177746654E-11
0.007266666666666648      3.1778240385531704E-10   3.2938167434051115E-10   2.168723488292125E-10    8.015312635252344E-11
0.007299999999999981      3.1590083881312945E-10   3.2812291460221454E-10   2.165997791134473E-10    8.013364777116605E-11
0.007333333333333314      3.1403974748633373E-10   3.2686659030975147E-10   2.1632643909784682E-10   8.011408563094135E-11
0.007366666666666647      3.1219822023519257E-10   3.256127099110434E-10    2.160523484868736E-10    8.009444057325379E-11
0.00739999999999998       3.103762517186414E-10    3.243612701488266E-10    2.157775071327083E-10    8.00747125963742E-11
0.0074333333333333135     3.0857396130580537E-10   3.231124128176627E-10    2.1550191284050907E-10   8.005490130611683E-11
0.007466666666666647      3.0679049523205173E-10   3.218661390148623E-10    2.1522558479119818E-10   8.003500733697493E-11
0.00749999999999998       3.050258486832628E-10    3.206224454958208E-10    2.1494852283521657E-10   8.001503068719627E-11
0.007533333333333313      3.032801051369075E-10    3.1938147578537955E-10   2.146707253544123E-10    7.999497097247168E-11
0.007566666666666646      3.01552463358206E-10     3.1814322343733686E-10   2.143922110830615E-10    7.997482882252987E-11
0.007599999999999979      2.9984291900937796E-10   3.1690768521891756E-10   2.1411297986992136E-10   7.995460423559736E-11
0.007633333333333312      2.98151530192789E-10     3.156750066379062E-10    2.1383303045603887E-10   7.99342968286839E-11
0.007666666666666645      2.964775388053321E-10    3.144451737692374E-10    2.135523812454799E-10    7.99139072308426E-11
0.007699999999999979      2.948209409367364E-10    3.132181833963247E-10    2.132710320855099E-10    7.989343544027962E-11
0.007733333333333313      2.931817756856258E-10    3.119941803006656E-10    2.1298898191234E-10      7.98728810750014E-11
0.007766666666666646      2.915593182992522E-10    3.107731443749279E-10    2.127062490721707E-10    7.985224477102674E-11
0.007799999999999979      2.899535652591411E-10    3.095550724223434E-10    2.1242283341064464E-10   7.983152652653932E-11
0.00783333333333331       2.8836454624409335E-10   3.083401075828703E-10    2.1213873376878736E-10   7.981072595226929E-11
0.007866666666666643      2.8679157320150843E-10   3.071282273180066E-10    2.1185396857836025E-10   7.978984368925494E-11
0.007899999999999976      2.852346429684436E-10    3.05919428448414E-10     2.115685376832715E-10    7.97688797356578E-11
